sample_id,stock_id,end_date,label,future_return_7,split,row_idx,prev_row_idx,prev_split,gap,overlap_days,overlap_ratio,transition
000001_2025-01-02,000001,2025-01-02,0,-0.0201224845378717,val,911,843.0,train,68.0,0.0,0.0,train->val
000001_2025-10-09,000001,2025-10-09,1,0.0017535434540209,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000002_2025-01-02,000002,2025-01-02,0,-0.0492264405385518,val,911,843.0,train,68.0,0.0,0.0,train->val
000002_2025-10-09,000002,2025-10-09,0,-0.0662739305724433,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000063_2025-01-02,000063,2025-01-02,1,0.0282098599553888,val,911,843.0,train,68.0,0.0,0.0,train->val
000063_2025-10-09,000063,2025-10-09,0,-0.027611044857559,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000100_2025-01-02,000100,2025-01-02,0,-0.0282827609051195,val,911,843.0,train,68.0,0.0,0.0,train->val
000100_2025-10-09,000100,2025-10-09,0,-0.0864745005723087,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000157_2025-01-02,000157,2025-01-02,0,-0.0557142851299769,val,911,843.0,train,68.0,0.0,0.0,train->val
000157_2025-10-09,000157,2025-10-09,0,-0.0037313445929473,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000166_2025-01-02,000166,2025-01-02,0,-0.02766783316852,val,911,843.0,train,68.0,0.0,0.0,train->val
000166_2025-10-09,000166,2025-10-09,0,-0.0166358045990231,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000301_2025-01-02,000301,2025-01-02,1,0.0387500052638189,val,900,832.0,train,68.0,0.0,0.0,train->val
000301_2025-10-09,000301,2025-10-09,0,-0.0780141708696072,test,1083,1015.0,val,68.0,0.0,0.0,val->test
000333_2025-01-02,000333,2025-01-02,0,-0.0135422177005985,val,911,843.0,train,68.0,0.0,0.0,train->val
000333_2025-10-09,000333,2025-10-09,1,0.0033044189606444,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000338_2025-01-02,000338,2025-01-02,1,0.0281065125372185,val,911,843.0,train,68.0,0.0,0.0,train->val
