month,test,train,val
2021-06,0,260,0
2021-07,0,5754,0
2021-08,0,5799,0
2021-09,0,5302,0
2021-10,0,4248,0
2021-11,0,5890,0
2021-12,0,6253,0
2022-01,0,5190,0
2022-02,0,4392,0
2022-03,0,6345,0
2022-04,0,5251,0
2022-05,0,5281,0
2022-06,0,5836,0
2022-07,0,5865,0
2022-08,0,6445,0
2022-09,0,5910,0
2022-10,0,4505,0
2022-11,0,6230,0
2022-12,0,6194,0
2023-01,0,4513,0
2023-02,0,5680,0
2023-03,0,6573,0
2023-04,0,5492,0
2023-05,0,5810,0
2023-06,0,5793,0
2023-07,0,6079,0
2023-08,0,6670,0
2023-09,0,5831,0
2023-10,0,4981,0
2023-11,0,6464,0
2023-12,0,6174,0
2024-01,0,6468,0
2024-02,0,4410,0
2024-03,0,6159,0
2024-04,0,5860,0
2024-05,0,5860,0
2024-06,0,5569,0
2024-07,0,6723,0
2024-08,0,6400,0
2024-09,0,3740,0
2025-01,0,0,5231
2025-02,0,0,5221
2025-03,0,0,6056
2025-04,0,0,6091
2025-05,0,0,5533
2025-06,0,0,5526
2025-10,4981,0,0
2025-11,5849,0,0
2025-12,6730,0,0
2026-01,5837,0,0
2026-02,4064,0,0
2026-03,4350,0,0
