Stkcd,approx_suspend_days
000776,1384
000792,1338
600893,966
000895,844
002129,811
000975,782
600515,780
600372,737
000408,735
002252,723
600900,667
000100,553
002049,527
002180,520
600346,514
600584,463
000301,441
000999,403
600803,398
300413,385
000938,382
600547,377
002600,375
000876,363
000625,361
000538,354
600332,350
002074,348
000630,342
600760,338
002050,336
600161,328
000002,326
600438,326
600406,317
000786,313
000617,312
000651,312
603986,311
600482,311
600150,310
000596,308
600061,298
600886,291
000708,290
600309,285
600115,282
601919,278
600089,273
000807,271
600674,248
000768,248
600690,248
300308,248
601607,247
603501,247
000001,243
600026,243
000963,239
600219,238
600875,237
600039,234
600795,231
002466,229
000425,227
000858,226
600019,224
601600,222
002027,211
000063,211
600018,209
300347,208
601877,207
600050,206
600415,199
000157,195
600233,195
600741,193
600460,193
000977,185
600845,184
601872,184
601901,180
600010,178
000725,172
600160,171
601669,165
600104,163
600176,162
000568,159
600000,156
002601,153
600570,152
600029,151
300316,151
600015,150
000661,148
002459,143
600030,140
600887,140
601766,140
002460,134
600600,134
601390,133
002230,129
600183,129
600036,128
601618,127
600066,127
600489,125
600588,125
002371,121
300122,120
600188,120
601088,117
000800,112
600377,109
600519,106
600362,105
600196,103
300418,100
601111,100
601888,99
000333,97
600426,96
600027,95
600436,94
300059,94
600660,94
600585,94
300014,93
601318,93
002352,89
000338,89
600011,86
601169,86
601799,84
600016,81
600031,80
002028,80
002415,78
600809,78
002001,77
600009,77
600028,75
000983,68
601100,68
600276,66
601899,63
600111,60
601012,59
600085,55
601058,53
601699,51
603799,50
601788,46
601633,45
601336,44
601377,44
002241,44
000166,43
300274,43
601166,42
002709,40
600999,39
600048,38
601211,38
601998,38
002714,38
002475,38
002311,37
601127,37
002422,37
002648,37
603019,36
300433,36
002142,35
601021,34
002236,34
601186,33
300015,33
601398,33
300124,33
300442,32
601988,31
603993,31
601006,29
601009,29
601328,29
601898,29
601818,29
601995,28
601059,28
300033,27
002179,27
603806,27
002594,24
002736,23
001979,22
002463,22
601238,21
300408,21
601688,19
601939,19
002493,18
002304,18
688012,17
601628,17
300394,16
300498,16
600958,16
601808,15
601689,15
688041,15
300661,14
688126,14
301269,14
601360,14
601668,13
601601,12
601916,12
601298,10
601857,9
601117,9
688981,8
600919,8
603833,8
601236,8
601288,6
603369,5
300502,4
601800,2
002916,2
688036,0
300979,0
300759,0
300760,0
300782,0
605117,0
603288,0
603259,0
605499,0
688009,0
601229,0
601225,0
601138,0
601136,0
601077,0
601066,0
600938,0
600989,0
600918,0
600905,0
300750,0
300628,0
600926,0
300832,0
600025,0
600023,0
601728,0
601698,0
002920,0
601319,0
003816,0
002938,0
601838,0
601868,0
001289,0
601825,0
601816,0
601881,0
601985,0
603195,0
688223,0
688256,0
